location,site,year1stTag,tag,plot,dah2011.cm,height2011.cm,basal_stems2011,fruit2011,comments2011,fruit.jul.2012,notes.jul.2012,dah.2012,hgt.2012,basal.stems.2012,frt.2012,frt.err.2012,notes.2012,dah.max.2012,mortality.2012
long_island,caleb_smith,2011,2140,14,1.48,275,1,0,,0,,1.48,264,1,0,,Knocked over,,
long_island,caleb_smith,2012,CS12-82,14,,,,,,0,,0.09,11,1,0,,,,
long_island,caleb_smith,2012,CS12-84,14,,,,,,0,,0.09,8,1,0,,,,
long_island,caleb_smith,2012,CS12-85,14,,,,,,0,,0.1,9,1,0,,,,
long_island,caleb_smith,2012,CS12-86,14,,,,,,0,,0.1,13,1,0,,,,
long_island,caleb_smith,2012,CS12-87,14,,,,,,0,,0.09,14,1,0,,,,
long_island,caleb_smith,2012,CS12-89,14,,,,,,0,,0.13,13,1,0,,,,
long_island,caleb_smith,2012,CS12-95,14,,,,,,0,,0.1,12,1,0,,,,
long_island,caleb_smith,2012,CS12-99,14,,,,,,0,,0.12,19,1,0,,,,
long_island,caleb_smith,2011,2141,15,1.06,97,1,0,damaged - top knocked off,0,,1.08,89,1,0,,Hieght to heighest bud,,
long_island,caleb_smith,2011,2142,16,0.32,41,1,0,,0,,0.37,71,1,0,,,,
long_island,caleb_smith,2011,2143,16,0.42,71,1,0,,0,,0.48,70,1,0,,,,
long_island,caleb_smith,2011,2144,16,0.22,33,1,0,,0,,0.31,33,1,0,,,,
long_island,caleb_smith,2011,2145,16,1.48,248,1,0,,0,,1.9,260,1,0,,,,
long_island,caleb_smith,2011,2146,16,0.57,113,1,0,,0,,0.61,120,1,0,,,,
long_island,caleb_smith,2011,2147,16,0.45,100,1,0,,0,,0.53,106,1,0,,,,
long_island,caleb_smith,2011,2148,16,0.84,173,1,0,,0,,0.93,180,2,0,,,,
long_island,caleb_smith,2011,2149,16,0.45,95,3,0,,0,,0.4,58,2,0,,,,
long_island,caleb_smith,2011,2150,16,0.35,58,1,0,,0,,0.48,96,2,0,,,,
long_island,caleb_smith,2011,2151,16,0.52,102,1,0,,0,,0.62,111,1,0,,,,
long_island,caleb_smith,2011,2152,16,0.35,58,1,0,,0,,0.4,66,1,0,,Dead?,,
long_island,caleb_smith,2011,CS-18,16,0.15,25,1,0,may be spice bush,0,,NA,NA,NA,NA,,Not found,,
long_island,caleb_smith,2011,CS-19,16,0.1,6,1,0,,0,,0.08,8,1,0,,,,
long_island,caleb_smith,2012,CS12-114,16,,,,,,0,,0.08,5,1,0,,,,
long_island,caleb_smith,2012,CS12-115,16,,,,,,0,,NA,NA,NA,NA,,"Dead, killed by Matt",,
long_island,caleb_smith,2012,1309,17,,,,,,0,,0.08,7,1,0,,next to 2153,,
long_island,caleb_smith,2011,2153,17,1.71,315,2,0,,2,,1.79,324,1,0,,,,
long_island,caleb_smith,2011,2154,17,3.35,388,5,0,,6,,2.92,389,3,0,,,3.33,
long_island,caleb_smith,2011,2155,17,1.06,163,3,0,,0,,1.12,158,3,0,,,,
long_island,caleb_smith,2011,CS-20,17,0.19,18,1,0,,0,,0.21,22,1,0,,,,
long_island,caleb_smith,2012,CS12-141,17,,,,,,0,,0.1,9,1,0,,near NW flag,,
long_island,caleb_smith,2012,CS12-142,17,,,,,,0,,0.25,24,1,0,,,,
long_island,caleb_smith,2012,CS12-145,17,,,,,,0,,0.13,10,1,0,,near SE flag,,
long_island,caleb_smith,2011,2156,18,0.22,22,1,0,near SE flag,0,,0.22,26,1,0,,,,
long_island,caleb_smith,2011,2157,18,0.28,34,1,0,near SE flag,0,,0.3,35,1,0,,,,
long_island,caleb_smith,2011,2158,18,3.24,451,2,0,,35,,3.29,451,3,0,,,,
long_island,caleb_smith,2011,2159,18,2.7,451,2,0,may be part of 2158,28,,NA,NA,NA,NA,,Part of 2158,,
long_island,caleb_smith,2012,CS12-18,18,,,,,,0,,0.13,11,1,0,,,,
long_island,caleb_smith,2012,CS12-19,18,,,,,,0,,0.22,16,1,0,,,,
long_island,caleb_smith,2012,CS12-22,18,,,,,,0,,0.1,7,1,0,,,,
long_island,caleb_smith,2012,CS12-32,18,,,,,,0,,0.1,10,1,0,,,,
long_island,caleb_smith,2012,CS12-34,18,,,,,,0,,0.1,5,1,0,,,,
long_island,caleb_smith,2012,CS12-43,18,,,,,,0,,0.08,8,1,0,,,,
long_island,caleb_smith,2012,CS12-44,18,,,,,,0,,0.07,8,1,0,,,,
